year,level_1,value
2011,Total Persons Arrested For Murder,30
2011,Male Arrested For Murder,28
2011,Female Arrested For Murder,2
2011,Total Persons Arrested For Rape,44
2011,Male Arrested For Rape,44
2011,Female Arrested For Rape,0
2011,Total Persons Arrested For Outrage Of Modesty,803
2011,Male Arrested For Outrage Of Modesty,796
2011,Female Arrested For Outrage Of Modesty,7
2011,Total Persons Arrested For Robbery,304
2011,Male Arrested For Robbery,283
2011,Female Arrested For Robbery,21
2011,Total Persons Arrested For Housebreaking,272
2011,Male Arrested For Housebreaking,251
2011,Female Arrested For Housebreaking,21
2011,Total Persons Arrested For Theft Of Motor Vehicle,196
2011,Male Arrested For Theft Of Motor Vehicle,183
2011,Female Arrested For Theft Of Motor Vehicle,13
2011,Total Persons Arrested For Snatch Theft,89
2011,Male Arrested For Snatch Theft,86
2011,Female Arrested For Snatch Theft,3
2011,Total Persons Arrested For Rioting,702
2011,Male Arrested For Rioting,631
2011,Female Arrested For Rioting,71
2011,Total Persons Arrested For Serious Hurt,302
2011,Male Arrested For Serious Hurt,260
2011,Female Arrested For Serious Hurt,42
2011,Total Persons Arrested For Cheating & Related,1647
2011,Male Arrested For Cheating & Related,1171
2011,Female Arrested For Cheating & Related,476
2012,Total Persons Arrested For Murder,16
2012,Male Arrested For Murder,16
2012,Female Arrested For Murder,0
2012,Total Persons Arrested For Rape,79
2012,Male Arrested For Rape,79
2012,Female Arrested For Rape,0
2012,Total Persons Arrested For Outrage Of Modesty,816
2012,Male Arrested For Outrage Of Modesty,810
2012,Female Arrested For Outrage Of Modesty,6
2012,Total Persons Arrested For Robbery,276
2012,Male Arrested For Robbery,257
2012,Female Arrested For Robbery,19
2012,Total Persons Arrested For Housebreaking,237
2012,Male Arrested For Housebreaking,218
2012,Female Arrested For Housebreaking,19
2012,Total Persons Arrested For Theft Of Motor Vehicle,140
2012,Male Arrested For Theft Of Motor Vehicle,133
2012,Female Arrested For Theft Of Motor Vehicle,7
2012,Total Persons Arrested For Snatch Theft,82
